Gene.name	Karyotype.band	Strand	Chromosome.scaffold.name	Gene.start..bp.	Gene.end..bp.	Gene.type	Gene.description
ACTBP6	q21.2	Plus	chr8	84948585	84949674	Pseudogene	Actin, Beta Pseudogene 6
ACTBP7	q15.3	Minus	chr15	43989061	43990184	Pseudogene	Actin, Beta Pseudogene 7
ACTBP8	q15	Minus	chr6	88275882	88276989	Pseudogene	Actin, Beta Pseudogene 8
ACTBP9	q21.33	Plus	chr18	62442028	62443126	Pseudogene	Actin, Beta Pseudogene 9
ACTC1	q14	Minus	chr15	34788096	34796139	Protein coding	Actin, Alpha, Cardiac Muscle 1
ACTG1	q25.3	Minus	chr17	81509971	81523847	Protein coding	Actin Gamma 1
ACTG1P1	q23	Plus	chr3	139493809	139494937	Pseudogene	Actin Gamma 1 Pseudogene 1
ACTG1P10	p11.22	Minus	chrX	53142832	53143913	Pseudogene	Actin Gamma 1 Pseudogene 10
ACTG1P11	q11.222	Plus	chrY	18147884	18149008	Pseudogene	Actin Gamma 1 Pseudogene 11
ACTG1P12	p25.2	Plus	chr3	12070195	12071360	Pseudogene	Actin Gamma 1 Pseudogene 12
ACTG1P13	q12.1	Minus	chr3	99215224	99216266	Pseudogene	Actin Gamma 1 Pseudogene 13
ACTG1P14	p24.1	Plus	chr9	6834456	6835577	Pseudogene	Actin Gamma 1 Pseudogene 14
ACTG1P15	q14	Minus	chr15	34373541	34374603	Pseudogene	Actin Gamma 1 Pseudogene 15
ACTG1P16	q12.1	Minus	chr16	50058150	50059231	Pseudogene	Actin Gamma 1 Pseudogene 16
ACTG1P17	q25.2	Minus	chr15	82725873	82738904	Pseudogene	Actin Gamma 1 Pseudogene 17
ACTG1P18	q16.3	Minus	chr6	101430411	101431553	Pseudogene	Actin Gamma 1 Pseudogene 18
ACTG1P19	q31.1	Plus	chr9	100731240	100732355	Pseudogene	Actin Gamma 1 Pseudogene 19
ACTG1P2	q11.222	Minus	chrY	17757001	17758125	Pseudogene	Actin Gamma 1 Pseudogene 2
ACTG1P20	p36.11	Plus	chr1	27325329	27325796	Pseudogene	Actin Gamma 1 Pseudogene 20
ACTG1P21	p31.1	Minus	chr1	77773865	77774864	Pseudogene	Actin Gamma 1 Pseudogene 21
ACTG1P22	p16.1	Plus	chr2	57755428	57766052	Pseudogene	Actin Gamma 1 Pseudogene 22
ACTG1P23	q26.31	Minus	chr3	175977497	175978570	Pseudogene	Actin Gamma 1 Pseudogene 23
ACTG1P24	p11.2	Plus	chr17	17242010	17242886	Pseudogene	Actin Gamma 1 Pseudogene 24
ACTG1P3	p13	Plus	chr20	1160584	1161697	Pseudogene	Actin Gamma 1 Pseudogene 3
ACTG1P4	p21.1	Plus	chr1	103569553	103570674	Pseudogene	Actin Gamma 1 Pseudogene 4
ACTG1P9	p12.3	Plus	chr6	46204729	46207386	Pseudogene	Actin Gamma 1 Pseudogene 9
ACTG2	p13.1	Plus	chr2	73892314	73919865	Protein coding	Actin, Gamma 2, Smooth Muscle, Enteric
ACTL10	q11.22	Plus	chr20	33666498	33668525	Protein coding	Actin Like 10
ACTL6A	q26.33	Plus	chr3	179562880	179588408	Protein coding	Actin Like 6A
ACTL6B	q22.1	Minus	chr7	100643097	100656461	Protein coding	Actin Like 6B
ACTL7A	q31.3	Plus	chr9	108862266	108863759	Protein coding	Actin Like 7A
ACTL7B	q31.3	Minus	chr9	108854589	108856967	Protein coding	Actin Like 7B
ACTL8	p36.13	Plus	chr1	17755313	17827063	Protein coding	Actin Like 8
ACTL9	p13.2	Minus	chr19	8697397	8698822	Protein coding	Actin Like 9
ACTN1	q24.1	Minus	chr14	68874143	68979440	Protein coding	Actinin Alpha 1
ACTN1-AS1	q24.1	Plus	chr14	68979682	68987463	Non-protein coding RNA	ACTN1 Antisense RNA 1
ACTN2	q43	Plus	chr1	236686454	236764631	Protein coding	Actinin Alpha 2
ACTN3	q13.2	Plus	chr11	66546395	66563329	Protein coding	Actinin Alpha 3 (gene/pseudogene)
ACTN4	q13.2	Plus	chr19	38647649	38731583	Protein coding	Actinin Alpha 4
ACTN4P1	q26	Plus	chr4	116598161	116599611	Pseudogene	Actinin Alpha 4 Pseudogene 1
ACTN4P2	p34.3	Plus	chr1	37776670	37779418	Pseudogene	Actinin Alpha 4 Pseudogene 2
ACTP1	q12.3	Plus	chr2	108099110	108099492	Pseudogene	Actin Family Pseudogene 1
ACTR10	q23.1	Plus	chr14	58200080	58235636	Protein coding	Actin Related Protein 10 Homolog
ACTR1A	q24.32	Minus	chr10	102461881	102502711	Protein coding	ARP1 Actin Related Protein 1 Homolog A
ACTR1B	q11.2	Minus	chr2	97655963	97664107	Protein coding	ARP1 Actin Related Protein 1 Homolog B
ACTR2	p14	Plus	chr2	65227753	65271253	Protein coding	ARP2 Actin Related Protein 2 Homolog
ACTR3	q14.1	Plus	chr2	113889960	113962596	Protein coding	ARP3 Actin Related Protein 3 Homolog
ACTR3B	q36.1	Plus	chr7	152759749	152855378	Protein coding	ARP3 Actin Related Protein 3 Homolog B
ACTR3BP1	q11.21	Plus	chrY	11395699	11397076	Pseudogene	ACTR3B Pseudogene 1
ACTR3BP2	p11.1	Plus	chr2	91940668	91942040	Pseudogene	ACTR3B Pseudogene 2
ACTR3BP3	p11.2	Minus	chr16	32379071	32380049	Pseudogene	ACTR3B Pseudogene 3
ACTR3BP4	q24	Plus	chr4	102961956	102963327	Pseudogene	ACTR3B Pseudogene 4
ACTR3BP5	p11.1	Plus	chr10	38696424	38697902	Pseudogene	ACTR3B Pseudogene 5
ACTR3BP6	p11.2	Plus	chr22	11124337	11125705	Pseudogene	ACTR3B Pseudogene 6
ACTR3C	q36.1	Minus	chr7	150243916	150323725	Protein coding	ARP3 Actin Related Protein 3 Homolog C
ACTR3P2	q13.1	Plus	chrX	68771322	68772578	Pseudogene	ACTR3 Pseudogene 2
ACTR3P3	q12.2	Plus	chr3	101163094	101163986	Pseudogene	ACTR3 Pseudogene 3
ACTR5	q11.23	Plus	chr20	38748442	38772520	Protein coding	ARP5 Actin Related Protein 5 Homolog
ACTR6	q23.1	Plus	chr12	100199122	100241865	Protein coding	ARP6 Actin Related Protein 6 Homolog
ACTR6P1	q25	Minus	chr4	106836498	106837601	Pseudogene	ACTR6 Pseudogene 1
ACTR8	p21.1	Minus	chr3	53867066	53882202	Protein coding	ARP8 Actin Related Protein 8 Homolog
ACTRT1	q25	Minus	chrX	128050962	128052398	Protein coding	Actin Related Protein T1
ACTRT2	p36.32	Plus	chr1	3021483	3022903	Protein coding	Actin Related Protein T2
ACTRT3	q26.2	Minus	chr3	169766921	169769895	Protein coding	Actin Related Protein T3
ACVR1	q24.1	Minus	chr2	157736444	157875862	Protein coding	Activin A Receptor Type 1
ACVR1B	q13.13	Plus	chr12	51951667	51997078	Protein coding	Activin A Receptor Type 1B
ACVR1C	q24.1	Minus	chr2	157526767	157629005	Protein coding	Activin A Receptor Type 1C
ACVR2A	q22.3	Plus	chr2	147844517	147930826	Protein coding	Activin A Receptor Type 2A
ACVR2B	p22.2	Plus	chr3	38453851	38493142	Protein coding	Activin A Receptor Type 2B
ACVR2B-AS1	p22.2	Minus	chr3	38451027	38454820	Non-protein coding RNA	ACVR2B Antisense RNA 1
ACVRL1	q13.13	Plus	chr12	51906908	51923361	Protein coding	Activin A Receptor Like Type 1
ACY1	p21.2	Plus	chr3	51983278	51989202	Protein coding	Aminoacylase 1
ACY3	q13.2	Minus	chr11	67642555	67650659	Protein coding	Aminoacylase 3
ACYP1	q24.3	Minus	chr14	75053221	75069483	Protein coding	Acylphosphatase 1
ACYP2	p16.2	Plus	chr2	53970838	54305300	Protein coding	Acylphosphatase 2
ADA	q13.12	Minus	chr20	44619522	44652233	Protein coding	Adenosine Deaminase
ADA2	q11.1	Minus	chr22	17178790	17221989	Protein coding	Adenosine Deaminase 2
ADAD1	q27	Plus	chr4	122378966	122429802	Protein coding	Adenosine Deaminase Domain Containing 1
ADAD1P2	q21.1	Plus	chr18	50063795	50064440	Pseudogene	Adenosine Deaminase Domain Containing 1 Pseudogene 2
ADAD2	q24.1	Plus	chr16	84191138	84197168	Protein coding	Adenosine Deaminase Domain Containing 2
ADAL	q15.3	Plus	chr15	43330657	43354555	Protein coding	Adenosine Deaminase Like
ADAM10	q21.3	Minus	chr15	58588807	58749978	Protein coding	ADAM Metallopeptidase Domain 10
ADAM11	q21.31	Plus	chr17	44759031	44781846	Protein coding	ADAM Metallopeptidase Domain 11
ADAM12	q26.2	Minus	chr10	126012381	126388455	Protein coding	ADAM Metallopeptidase Domain 12
ADAM15	q21.3	Plus	chr1	155050566	155062775	Protein coding	ADAM Metallopeptidase Domain 15
ADAM17	p25.1	Minus	chr2	9488486	9555792	Protein coding	ADAM Metallopeptidase Domain 17
ADAM18	p11.22	Plus	chr8	39429440	39575001	Protein coding	ADAM Metallopeptidase Domain 18
ADAM19	q33.3	Minus	chr5	157395534	157575775	Protein coding	ADAM Metallopeptidase Domain 19
ADAM1A	q24.12	Plus	chr12	111899263	111901391	Pseudogene	ADAM Metallopeptidase Domain 1A (pseudogene)
ADAM1B	q24.13	Plus	chr12	111927018	111929017	Pseudogene	ADAM Metallopeptidase Domain 1B (pseudogene)
ADAM2	p11.22	Minus	chr8	39588691	39683242	Protein coding	ADAM Metallopeptidase Domain 2
ADAM20	q24.2	Minus	chr14	70522358	70535015	Protein coding	ADAM Metallopeptidase Domain 20
ADAM20P1	q24.2	Minus	chr14	70468881	70483756	Pseudogene	ADAM Metallopeptidase Domain 20 Pseudogene 1
ADAM20P2	q34.2	Plus	chr4	175574868	175576140	Pseudogene	ADAM Metallopeptidase Domain 20 Pseudogene 2
ADAM20P3	q35.2	Minus	chr4	187746094	187748199	Pseudogene	ADAM Metallopeptidase Domain 20 Pseudogene 3
ADAM21	q24.2	Plus	chr14	70452157	70459899	Protein coding	ADAM Metallopeptidase Domain 21
ADAM21P1	q24.2	Minus	chr14	70245491	70247801	Pseudogene	ADAM Metallopeptidase Domain 21 Pseudogene 1
ADAM22	q21.12	Plus	chr7	87934143	88202889	Protein coding	ADAM Metallopeptidase Domain 22
ADAM23	q33.3	Plus	chr2	206443539	206621130	Protein coding	ADAM Metallopeptidase Domain 23
ADAM24P	p22	Plus	chr8	17469518	17471618	Pseudogene	ADAM Metallopeptidase Domain 24, Pseudogene
ADAM28	p21.2	Plus	chr8	24294040	24359018	Protein coding	ADAM Metallopeptidase Domain 28
ADAM29	q34.1	Plus	chr4	174829668	174978180	Protein coding	ADAM Metallopeptidase Domain 29
ADAM30	p12	Minus	chr1	119893533	119896495	Protein coding	ADAM Metallopeptidase Domain 30
ADAM32	p11.22	Plus	chr8	39106990	39284911	Protein coding	ADAM Metallopeptidase Domain 32
ADAM33	p13	Minus	chr20	3667965	3682246	Protein coding	ADAM Metallopeptidase Domain 33
ADAM3A	p11.22	Minus	chr8	39451045	39522852	Pseudogene	ADAM Metallopeptidase Domain 3A (pseudogene)
ADAM3B	q12.1	Minus	chr16	49517762	49518601	Pseudogene	ADAM Metallopeptidase Domain 3B (pseudogene)
ADAM5	p11.22	Plus	chr8	39314591	39417378	Pseudogene	ADAM Metallopeptidase Domain 5 (pseudogene)
ADAM6	q32.33	Minus	chr14	105969729	105972269	Pseudogene	ADAM Metallopeptidase Domain 6 (pseudogene)
ADAM7	p21.2	Plus	chr8	24440930	24526970	Protein coding	ADAM Metallopeptidase Domain 7
ADAM8	q26.3	Minus	chr10	133262403	133276868	Protein coding	ADAM Metallopeptidase Domain 8
ADAM9	p11.22	Plus	chr8	38996869	39105144	Protein coding	ADAM Metallopeptidase Domain 9
ADAMDEC1	p21.2	Plus	chr8	24384285	24406013	Protein coding	ADAM Like Decysin 1
ADAMTS1	q21.3	Minus	chr21	26835747	26845409	Protein coding	ADAM Metallopeptidase With Thrombospondin Type 1 Motif 1
ADAMTS10	p13.2	Minus	chr19	8580242	8610735	Protein coding	ADAM Metallopeptidase With Thrombospondin Type 1 Motif 10
ADAMTS12	p13.2	Minus	chr5	33523535	33892192	Protein coding	ADAM Metallopeptidase With Thrombospondin Type 1 Motif 12
ADAMTS13	q34.2	Plus	chr9	133414358	133459402	Protein coding	ADAM Metallopeptidase With Thrombospondin Type 1 Motif 13
ADAMTS14	q22.1	Plus	chr10	70672803	70762441	Protein coding	ADAM Metallopeptidase With Thrombospondin Type 1 Motif 14
ADAMTS15	q24.3	Plus	chr11	130448974	130476641	Protein coding	ADAM Metallopeptidase With Thrombospondin Type 1 Motif 15
ADAMTS16	p15.32	Plus	chr5	5140330	5320304	Protein coding	ADAM Metallopeptidase With Thrombospondin Type 1 Motif 16
ADAMTS17	q26.3	Minus	chr15	99971589	100342005	Protein coding	ADAM Metallopeptidase With Thrombospondin Type 1 Motif 17
ADAMTS18	q23.1	Minus	chr16	77247813	77435114	Protein coding	ADAM Metallopeptidase With Thrombospondin Type 1 Motif 18
ADAMTS19	q23.3	Plus	chr5	129460265	129738683	Protein coding	ADAM Metallopeptidase With Thrombospondin Type 1 Motif 19
ADAMTS19-AS1	q23.3	Minus	chr5	129459559	129460689	Non-protein coding RNA	ADAMTS19 Antisense RNA 1
ADAMTS2	q35.3	Minus	chr5	179110851	179345430	Protein coding	ADAM Metallopeptidase With Thrombospondin Type 1 Motif 2
ADAMTS20	q12	Minus	chr12	43353866	43551921	Protein coding	ADAM Metallopeptidase With Thrombospondin Type 1 Motif 20
ADAMTS3	q13.3	Minus	chr4	72280969	72569386	Protein coding	ADAM Metallopeptidase With Thrombospondin Type 1 Motif 3
ADAMTS4	q23.3	Minus	chr1	161184308	161199056	Protein coding	ADAM Metallopeptidase With Thrombospondin Type 1 Motif 4
ADAMTS5	q21.3	Minus	chr21	26917912	26966513	Protein coding	ADAM Metallopeptidase With Thrombospondin Type 1 Motif 5
ADAMTS6	q12.3	Minus	chr5	65148736	65481920	Protein coding	ADAM Metallopeptidase With Thrombospondin Type 1 Motif 6
ADAMTS7	q25.1	Minus	chr15	78759203	78811431	Protein coding	ADAM Metallopeptidase With Thrombospondin Type 1 Motif 7
ADAMTS7P1	q25.2	Plus	chr15	82298553	82334609	Pseudogene	ADAMTS7 Pseudogene 1
ADAMTS7P3	q24.3	Plus	chr15	77976042	77993057	Pseudogene	ADAMTS7 Pseudogene 3
ADAMTS7P4	q25.3	Minus	chr15	85255369	85330334	Pseudogene	ADAMTS7 Pseudogene 4
ADAMTS8	q24.3	Minus	chr11	130404925	130428993	Protein coding	ADAM Metallopeptidase With Thrombospondin Type 1 Motif 8
ADAMTS9	p14.1	Minus	chr3	64515654	64688000	Protein coding	ADAM Metallopeptidase With Thrombospondin Type 1 Motif 9
ADAMTS9-AS1	p14.1	Plus	chr3	64561322	64592757	Non-protein coding RNA	ADAMTS9 Antisense RNA 1
ADAMTS9-AS2	p14.1	Plus	chr3	64684909	65011468	Non-protein coding RNA	ADAMTS9 Antisense RNA 2
ADAMTSL1	p22.2	Plus	chr9	17906563	18910950	Protein coding	ADAMTS Like 1
ADAMTSL2	q34.2	Plus	chr9	133532164	133575519	Protein coding	ADAMTS Like 2
ADAMTSL3	q25.2	Plus	chr15	83654086	84039842	Protein coding	ADAMTS Like 3
ADAMTSL4	q21.2	Plus	chr1	150549369	150560937	Protein coding	ADAMTS Like 4
ADAMTSL4-AS1	q21.2	Minus	chr1	150560202	150574552	Non-protein coding RNA	ADAMTSL4 Antisense RNA 1
ADAMTSL5	p13.3	Minus	chr19	1505018	1513604	Protein coding	ADAMTS Like 5
ADAP1	p22.3	Minus	chr7	897901	955407	Protein coding	ArfGAP With Dual PH Domains 1
ADAP2	q11.2	Plus	chr17	30906344	30959322	Protein coding	ArfGAP With Dual PH Domains 2
ADAR	q21.3	Minus	chr1	154582062	154627999	Protein coding	Adenosine Deaminase, RNA Specific
ADARB1	q22.3	Plus	chr21	45073853	45226560	Protein coding	Adenosine Deaminase, RNA Specific B1
ADARB2	p15.3	Minus	chr10	1177318	1737476	Protein coding	Adenosine Deaminase, RNA Specific B2 (inactive)
ADARB2-AS1	p15.3	Plus	chr10	1526637	1556984	Non-protein coding RNA	ADARB2 Antisense RNA 1
ADAT1	q23.1	Minus	chr16	75596981	75623300	Protein coding	Adenosine Deaminase, TRNA Specific 1
ADAT2	q24.2	Minus	chr6	143422832	143450673	Protein coding	Adenosine Deaminase, TRNA Specific 2
ADAT3	p13.3	Plus	chr19	1905378	1913447	Protein coding	Adenosine Deaminase, TRNA Specific 3
ADCK1	q24.3	Plus	chr14	77800083	77935012	Protein coding	AarF Domain Containing Kinase 1
ADCK2	q34	Plus	chr7	140673153	140696261	Protein coding	AarF Domain Containing Kinase 2
ADCK5	q24.3	Plus	chr8	144373101	144393242	Protein coding	AarF Domain Containing Kinase 5
ADCY1	p12.3	Plus	chr7	45574140	45723116	Protein coding	Adenylate Cyclase 1
ADCY10	q24.2	Minus	chr1	167809388	167914215	Protein coding	Adenylate Cyclase 10
ADCY10P1	p21.1	Plus	chr6	41101022	41140835	Pseudogene	Adenylate Cyclase 10, Soluble Pseudogene 1
ADCY2	p15.31	Plus	chr5	7396208	7830081	Protein coding	Adenylate Cyclase 2
ADCY3	p23.3	Minus	chr2	24819169	24919839	Protein coding	Adenylate Cyclase 3
ADCY4	q12	Minus	chr14	24318348	24335092	Protein coding	Adenylate Cyclase 4
ADCY5	q21.1	Minus	chr3	123282296	123449758	Protein coding	Adenylate Cyclase 5
ADCY6	q13.12	Minus	chr12	48766194	48789037	Protein coding	Adenylate Cyclase 6
ADCY7	q12.1	Plus	chr16	50246137	50318135	Protein coding	Adenylate Cyclase 7
ADCY8	q24.22	Minus	chr8	130780301	131042426	Protein coding	Adenylate Cyclase 8
ADCY9	p13.3	Minus	chr16	3953387	4116185	Protein coding	Adenylate Cyclase 9
ADCYAP1	p11.32	Plus	chr18	904943	912172	Protein coding	Adenylate Cyclase Activating Polypeptide 1
ADCYAP1R1	p14.3	Plus	chr7	31052461	31111479	Protein coding	ADCYAP Receptor Type I
ADD1	p16.3	Plus	chr4	2843857	2930076	Protein coding	Adducin 1
ADD2	p13.3	Minus	chr2	70607618	70768225	Protein coding	Adducin 2
ADD3	q25.1	Plus	chr10	109996368	110135565	Protein coding	Adducin 3
ADD3-AS1	q25.1	Minus	chr10	109940104	110008381	Non-protein coding RNA	ADD3 Antisense RNA 1
ADGB	q24.3	Plus	chr6	146598965	146815462	Protein coding	Androglobin
ADGRA1	q26.3	Plus	chr10	133070929	133131675	Protein coding	Adhesion G Protein-coupled Receptor A1
ADGRA1-AS1	q26.3	Minus	chr10	133083073	133088491	Non-protein coding RNA	Adhesion G Protein-coupled Receptor A1 Antisense RNA 1
ADGRA2	p11.23	Plus	chr8	37784191	37844896	Protein coding	Adhesion G Protein-coupled Receptor A2
ADGRA3	p15.2	Minus	chr4	22345071	22516054	Protein coding	Adhesion G Protein-coupled Receptor A3
ADGRB1	q24.3	Plus	chr8	142449430	142545009	Protein coding	Adhesion G Protein-coupled Receptor B1
ADGRB2	p35.2	Minus	chr1	31727117	31764893	Protein coding	Adhesion G Protein-coupled Receptor B2
ADGRB3	q12	Plus	chr6	68635367	69389511	Protein coding	Adhesion G Protein-coupled Receptor B3
ADGRD1	q24.33	Plus	chr12	130953907	131141469	Protein coding	Adhesion G Protein-coupled Receptor D1
ADGRD1-AS1	q24.33	Minus	chr12	130990138	130993976	Non-protein coding RNA	ADGRD1 Antisense RNA 1
ADGRD2	q33.3	Plus	chr9	124451425	124478589	Protein coding	Adhesion G Protein-coupled Receptor D2
ADGRE1	p13.3	Plus	chr19	6887566	6940459	Protein coding	Adhesion G Protein-coupled Receptor E1
ADGRE2	p13.12	Minus	chr19	14732393	14778541	Protein coding	Adhesion G Protein-coupled Receptor E2
ADGRE3	p13.12	Minus	chr19	14619117	14690027	Protein coding	Adhesion G Protein-coupled Receptor E3
ADGRE4P	p13.2	Minus	chr19	6952500	6997872	Pseudogene	Adhesion G Protein-coupled Receptor E4, Pseudogene
ADGRE5	p13.12	Plus	chr19	14380501	14408725	Protein coding	Adhesion G Protein-coupled Receptor E5
ADGRF1	p12.3	Minus	chr6	46997703	47042363	Protein coding	Adhesion G Protein-coupled Receptor F1
ADGRF2	p12.3	Plus	chr6	47656436	47697797	Protein coding	Adhesion G Protein-coupled Receptor F2
ADGRF3	p23.3	Minus	chr2	26308173	26346817	Protein coding	Adhesion G Protein-coupled Receptor F3
ADGRF4	p12.3	Plus	chr6	47685864	47722021	Protein coding	Adhesion G Protein-coupled Receptor F4
ADGRF5	p12.3	Minus	chr6	46852512	46954943	Protein coding	Adhesion G Protein-coupled Receptor F5
ADGRF5P1	q13	Minus	chr9	62860873	62864957	Pseudogene	Adhesion G Protein-coupled Receptor F5 Pseudogene 1
ADGRF5P2	p11.1	Plus	chr9	42795392	42800672	Pseudogene	Adhesion G Protein-coupled Receptor F5 Pseudogene 2
ADGRG1	q21	Plus	chr16	57610652	57665580	Protein coding	Adhesion G Protein-coupled Receptor G1
ADGRG2	p22.13	Minus	chrX	18989309	19122637	Protein coding	Adhesion G Protein-coupled Receptor G2
ADGRG3	q21	Plus	chr16	57668187	57689378	Protein coding	Adhesion G Protein-coupled Receptor G3
ADGRG4	q26.3	Plus	chrX	136300963	136416888	Protein coding	Adhesion G Protein-coupled Receptor G4
ADGRG5	q21	Plus	chr16	57542421	57591681	Protein coding	Adhesion G Protein-coupled Receptor G5
ADGRG6	q24.2	Plus	chr6	142301854	142446266	Protein coding	Adhesion G Protein-coupled Receptor G6
ADGRG7	q12.2	Plus	chr3	100609589	100695479	Protein coding	Adhesion G Protein-coupled Receptor G7
ADGRL1	p13.12	Minus	chr19	14147743	14206187	Protein coding	Adhesion G Protein-coupled Receptor L1
ADGRL2	p31.1	Plus	chr1	81306160	81992436	Protein coding	Adhesion G Protein-coupled Receptor L2
ADGRL3	q13.1	Plus	chr4	61201258	62078335	Protein coding	Adhesion G Protein-coupled Receptor L3
ADGRL3-AS1	q13.1	Minus	chr4	62071752	62165554	Non-protein coding RNA	Adhesion G Protein-coupled Receptor L3 Antisense RNA 1
ADGRL4	p31.1	Minus	chr1	78889764	79006718	Protein coding	Adhesion G Protein-coupled Receptor L4
ADGRV1	q14.3	Plus	chr5	90529344	91164437	Protein coding	Adhesion G Protein-coupled Receptor V1
ADH1A	q23	Minus	chr4	99276367	99291028	Protein coding	Alcohol Dehydrogenase 1A (class I), Alpha Polypeptide
ADH1B	q23	Minus	chr4	99304964	99352760	Protein coding	Alcohol Dehydrogenase 1B (class I), Beta Polypeptide
ADH1C	q23	Minus	chr4	99336492	99353027	Protein coding	Alcohol Dehydrogenase 1C (class I), Gamma Polypeptide
ADH4	q23	Minus	chr4	99123657	99157792	Protein coding	Alcohol Dehydrogenase 4 (class II), Pi Polypeptide
ADH5	q23	Minus	chr4	99070978	99088801	Protein coding	Alcohol Dehydrogenase 5 (class III), Chi Polypeptide
ADH5P2	p31.1	Plus	chr1	79521080	79522203	Pseudogene	Alcohol Dehydrogenase 5 (class III), Chi Polypeptide, Pseudogene 2
ADH5P3	q43	Plus	chr1	240170155	240171291	Pseudogene	Alcohol Dehydrogenase 5 (class III), Chi Polypeptide, Pseudogene 3
ADH5P4	q12	Minus	chr6	65836930	65838039	Pseudogene	Alcohol Dehydrogenase 5 (class III), Chi Polypeptide, Pseudogene 4
ADH6	q23	Minus	chr4	99202638	99219537	Protein coding	Alcohol Dehydrogenase 6 (class V)
ADH7	q23	Minus	chr4	99412261	99435737	Protein coding	Alcohol Dehydrogenase 7 (class IV), Mu Or Sigma Polypeptide
ADHFE1	q13.1	Plus	chr8	66430185	66471601	Protein coding	Alcohol Dehydrogenase, Iron Containing 1
ADI1	p25.3	Minus	chr2	3497361	3502360	Protein coding	Acireductone Dioxygenase 1
ADI1P1	q12	Plus	chr20	41331123	41331660	Pseudogene	Acireductone Dioxygenase 1 Pseudogene 1
ADI1P2	q22.3	Minus	chr8	102688317	102688906	Pseudogene	Acireductone Dioxygenase 1 Pseudogene 2
ADI1P3	q13.11	Plus	chr12	47463087	47463621	Pseudogene	Acireductone Dioxygenase 1 Pseudogene 3
ADIG	q11.23	Plus	chr20	38581195	38588463	Protein coding	Adipogenin
ADIPOQ	q27.3	Plus	chr3	186842690	186858463	Protein coding	Adiponectin, C1Q And Collagen Domain Containing
ADIPOQ-AS1	q27.3	Minus	chr3	186851886	186856123	Non-protein coding RNA	ADIPOQ Antisense RNA 1
ADIPOR1	q32.1	Minus	chr1	202940823	202958572	Protein coding	Adiponectin Receptor 1
ADIPOR1P1	p12.31	Plus	chr10	22162992	22165794	Pseudogene	Adiponectin Receptor 1 Pseudogene 1
